year,country_slug,source_pdf,words,testament,unwavering,steadfast,resonate,navigate,foster,harness,beacon,embark,landscape,transformative,crossroads,profound,robust,seamless,bolster,delve,intricate,underscore,showcase,nuanced,multifaceted,tapestry,realm,meticulous,delineate,paramount,myriad,pivotal,sovereignty,cooperation,development,security,peace,dialogue,support,people
2015,afghanistan,https://gadebate.un.org/sites/default/files/gastatements/70/70_af_en_2_24.pdf,1785,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,8,2,1,9,4
2015,albania,https://gadebate.un.org/sites/default/files/gastatements/70/70_al_en_24.pdf,1011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,0,0,8
2015,angola,https://gadebate.un.org/sites/default/files/gastatements/70/70_ao_en_2_24.pdf,1689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,9,15,9,2,6,9
2015,armenia,https://gadebate.un.org/sites/default/files/gastatements/70/70_am_en_3_24.pdf,1459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,3
2015,australia,https://gadebate.un.org/sites/default/files/gastatements/70/70_au_en_25.pdf,1855,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,8,2,0,9,5
2015,austria,https://gadebate.un.org/sites/default/files/gastatements/70/70_at_en_24.pdf,1373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,4,2,6,5
2015,azerbaijan,https://gadebate.un.org/sites/default/files/gastatements/70/70_az_en_2_24.pdf,1621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,6,3,3,0,1,2
2015,barbados,https://gadebate.un.org/sites/default/files/gastatements/70/70_bb_en_2_24.pdf,2226,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,13,7,8,0,3,3
2015,belize,https://gadebate.un.org/sites/default/files/gastatements/70/70_bz_en_24.pdf,2019,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,9,7,0,5,7
2015,bosnia-and-herzegovina,https://gadebate.un.org/sites/default/files/gastatements/70/70_ba_en_24.pdf,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,7,1,3,2
2015,botswana,https://gadebate.un.org/sites/default/files/gastatements/70/70_bw_en_2_24.pdf,2941,0,1,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,25,14,6,2,8,6
2015,brazil,https://gadebate.un.org/sites/default/files/gastatements/70/brazil_70_en_25.pdf,2219,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,11,2,8,0,2,9
2015,brunei-darussalam,https://gadebate.un.org/sites/default/files/gastatements/70/70_bn_en_25.pdf,1421,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,5,8,1,2,5
2015,bulgaria,https://gadebate.un.org/sites/default/files/gastatements/70/70_bg_en_25.pdf,1796,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,5,14,1,3,6
2015,cabo-verde,https://gadebate.un.org/sites/default/files/gastatements/70/70_cv_en_2_24.pdf,1388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,7,5,0,1,2
2015,canada,https://gadebate.un.org/sites/default/files/gastatements/70/70_ca_en_24.pdf,2325,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,9,2,3,0,10,3
2015,croatia,https://gadebate.un.org/sites/default/files/gastatements/70/70_hr_en_25.pdf,3215,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,2,8,17,14,2,4,7
